Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
105,2016,7,Maharashtra,Sangli,55707.0,50.27,94.26,72.8,29304.0,26.44,49.58,38.3,25810.0,23.29,43.67,33.73,110821.0,187.51,144.83
105,2017,7,Maharashtra,Sangli,54620.0,50.93,92.25,69.03,27950.0,26.06,47.2,35.33,24678.0,23.01,41.68,31.19,107248.0,181.13,135.55
106,2016,7,Maharashtra,Solapur,87707.0,58.46,83.94,71.36,36273.0,24.18,34.71,29.51,26049.0,17.36,24.93,21.19,150029.0,143.58,122.06
106,2017,7,Maharashtra,Solapur,101756.0,53.74,97.69,81.77,49267.0,26.02,47.3,39.59,38343.0,20.25,36.81,30.81,189366.0,181.8,152.17
107,2016,7,Maharashtra,Kolhapur,78612.0,53.3,181.3,131.83,36008.0,24.42,83.04,60.39,32856.0,22.28,75.77,55.1,147476.0,340.12,247.32
107,2017,7,Maharashtra,Kolhapur,70996.0,53.54,163.59,116.54,31024.0,23.4,71.48,50.93,30580.0,23.06,70.46,50.2,132600.0,305.53,217.66
108,2016,7,Maharashtra,Aurangabad,87467.0,56.42,131.77,75.32,41663.0,26.88,62.76,35.88,25891.0,16.7,39.0,22.3,155021.0,233.54,133.5
108,2017,7,Maharashtra,Aurangabad,80928.0,57.83,119.49,67.47,36475.0,26.07,53.85,30.41,22533.0,16.1,33.27,18.79,139936.0,206.61,116.67
109,2016,7,Maharashtra,Parbhani,33134.0,54.29,68.47,34.6,19461.0,31.89,40.22,20.32,8438.0,13.83,17.44,8.81,61033.0,126.13,63.74
109,2017,7,Maharashtra,Parbhani,33388.0,49.18,69.0,34.87,23809.0,35.07,49.2,24.86,10698.0,15.76,22.11,11.17,67895.0,140.31,70.9
110,2016,7,Maharashtra,Bid,46921.0,47.65,61.93,45.89,34131.0,34.66,45.05,33.38,17419.0,17.69,22.99,17.04,98471.0,129.98,96.31
110,2017,7,Maharashtra,Bid,60321.0,49.11,79.62,59.01,41388.0,33.69,54.63,40.49,21125.0,17.2,27.88,20.66,122834.0,162.14,120.15
111,2016,7,Maharashtra,Nanded,86709.0,53.36,119.2,88.41,50602.0,31.14,69.57,51.59,25199.0,15.51,34.64,25.69,162510.0,223.41,165.69
111,2017,7,Maharashtra,Nanded,75364.0,46.49,103.91,78.19,56691.0,34.97,78.16,58.82,30042.0,18.53,41.42,31.17,162097.0,223.49,168.19
112,2016,7,Maharashtra,Osmanabad,18945.0,48.19,45.5,23.24,15641.0,39.79,37.56,19.19,4726.0,12.02,11.35,5.8,39312.0,94.41,48.22
112,2017,7,Maharashtra,Osmanabad,25421.0,47.32,59.93,30.52,20184.0,37.57,47.58,24.23,8116.0,15.11,19.13,9.74,53721.0,126.64,64.5
113,2016,7,Maharashtra,Buldhana,54181.0,52.08,82.58,57.23,37263.0,35.82,56.79,39.36,12597.0,12.11,19.2,13.31,104041.0,158.57,109.9
113,2017,7,Maharashtra,Buldhana,46834.0,47.58,71.81,51.61,37943.0,38.55,58.18,41.81,13656.0,13.87,20.94,15.05,98433.0,150.92,108.47
114,2016,7,Maharashtra,Akola,22496.0,52.36,52.32,32.66,14532.0,33.82,33.8,21.1,5938.0,13.82,13.81,8.62,42966.0,99.92,62.38
114,2017,7,Maharashtra,Akola,23248.0,45.31,54.12,33.33,19595.0,38.19,45.61,28.09,8465.0,16.5,19.7,12.14,51308.0,119.43,73.56
115,2016,7,Maharashtra,Amarawati,33342.0,49.8,44.4,33.89,22777.0,34.02,30.33,23.15,10833.0,16.18,14.42,11.01,66952.0,89.15,68.05
115,2017,7,Maharashtra,Amarawati,35041.0,47.27,46.76,35.68,25616.0,34.56,34.19,26.08,13467.0,18.17,17.97,13.71,74124.0,98.92,75.48
116,2016,7,Maharashtra,Yeotmal,59373.0,57.62,69.47,59.82,26975.0,26.18,31.56,27.18,16698.0,16.2,19.54,16.82,103046.0,120.56,103.81
116,2017,7,Maharashtra,Yeotmal,48715.0,48.91,57.0,49.08,32201.0,32.33,37.68,32.44,18677.0,18.75,21.85,18.82,99593.0,116.52,100.34
117,2016,7,Maharashtra,Wardha,40246.0,51.41,116.59,90.08,24255.0,30.98,70.26,54.29,13788.0,17.61,39.94,30.86,78289.0,226.79,175.22
117,2017,7,Maharashtra,Wardha,30404.0,44.78,88.36,67.9,21073.0,31.03,61.24,47.06,16426.0,24.19,47.74,36.68,67903.0,197.34,151.64
118,2016,7,Maharashtra,Nagpur,42467.0,58.94,75.83,64.46,21329.0,29.6,38.09,32.38,8255.0,11.46,14.74,12.53,72051.0,128.66,109.37
118,2017,7,Maharashtra,Nagpur,50667.0,55.16,90.69,77.3,30322.0,33.01,54.27,46.26,10873.0,11.84,19.46,16.59,91862.0,164.42,140.14
119,2016,7,Maharashtra,Bhandara,33811.0,66.06,190.38,132.64,14742.0,28.8,83.01,57.83,2631.0,5.14,14.81,10.32,51184.0,288.2,200.8
119,2017,7,Maharashtra,Bhandara,22904.0,66.1,130.28,91.54,10417.0,30.06,59.25,41.63,1329.0,3.84,7.56,5.31,34650.0,197.1,138.49
120,2016,7,Maharashtra,Chandrapur,38199.0,63.6,83.31,71.11,17749.0,29.55,38.71,33.04,4115.0,6.85,8.97,7.66,60063.0,131.0,111.81
120,2017,7,Maharashtra,Chandrapur,39937.0,59.97,87.62,76.11,21198.0,31.83,46.51,40.4,5464.0,8.2,11.99,10.41,66599.0,146.11,126.93
121,2016,3,Gujarat,Ahmedabad,66411.0,80.24,138.54,105.23,15539.0,18.77,32.42,24.62,818.0,0.99,1.71,1.3,82768.0,172.66,131.15
121,2017,3,Gujarat,Ahmedabad,70198.0,80.27,144.01,104.84,16355.0,18.7,33.55,24.43,902.0,1.03,1.85,1.35,87455.0,179.41,130.61
122,2016,3,Gujarat,Amreli,42976.0,66.56,79.89,71.87,19307.0,29.9,35.89,32.29,2282.0,3.53,4.24,3.82,64565.0,120.02,107.97
122,2017,3,Gujarat,Amreli,47379.0,63.63,88.03,81.32,24276.0,32.6,45.1,41.67,2811.0,3.77,5.22,4.82,74466.0,138.35,127.81
123,2016,3,Gujarat,Banaskantha,112751.0,69.62,163.01,88.19,35444.0,21.89,51.24,27.72,13760.0,8.5,19.89,10.76,161955.0,234.14,126.67
123,2017,3,Gujarat,Banaskantha,120126.0,71.09,173.69,93.96,36046.0,21.33,52.12,28.19,12799.0,7.57,18.51,10.01,168971.0,244.31,132.16
124,2016,3,Gujarat,Bharuch,26149.0,69.69,82.03,81.55,6177.0,16.46,19.38,19.27,5196.0,13.85,16.3,16.21,37522.0,117.71,117.03
124,2017,3,Gujarat,Bharuch,31179.0,66.53,99.02,96.99,8160.0,17.41,25.92,25.38,7526.0,16.06,23.9,23.41,46865.0,148.84,145.79
125,2016,3,Gujarat,Vadodara,68303.0,78.65,221.06,210.49,11305.0,13.02,36.59,34.84,7235.0,8.33,23.42,22.3,86843.0,281.06,267.62
125,2017,3,Gujarat,Vadodara,47170.0,78.84,154.82,143.88,7999.0,13.37,26.25,24.4,4662.0,7.79,15.3,14.22,59831.0,196.38,182.5
126,2016,3,Gujarat,Bhavnagar,52324.0,65.07,115.17,98.24,23841.0,29.65,52.47,44.76,4245.0,5.28,9.34,7.97,80410.0,176.98,150.98
126,2017,3,Gujarat,Bhavnagar,47392.0,64.81,104.22,89.39,21196.0,28.99,46.61,39.98,4531.0,6.2,9.96,8.55,73119.0,160.8,137.91
127,2016,3,Gujarat,Valsad,11416.0,59.17,69.99,63.56,3881.0,20.11,23.8,21.61,3998.0,20.72,24.51,22.26,19295.0,118.3,107.43
127,2017,3,Gujarat,Valsad,10834.0,61.83,65.92,57.0,3902.0,22.27,23.74,20.53,2787.0,15.9,16.96,14.66,17523.0,106.62,92.2
128,2016,3,Gujarat,Dangs,674.0,57.75,12.19,7.2,300.0,25.71,5.42,3.21,0.0,16.54,3.49,2.06,1167.0,21.1,12.47
128,2017,3,Gujarat,Dangs,503.0,75.53,8.9,6.07,107.0,16.07,1.89,1.29,0.0,8.41,0.99,0.68,666.0,11.79,8.04
129,2016,3,Gujarat,Jamnagar,35478.0,58.34,96.09,86.31,21924.0,36.05,59.38,53.34,0.0,5.61,9.24,8.3,60814.0,164.71,147.95
129,2017,3,Gujarat,Jamnagar,33609.0,58.61,91.78,86.26,20274.0,35.36,55.37,52.04,0.0,6.03,9.44,8.87,57339.0,156.59,147.17
130,2016,3,Gujarat,Junagadh,48208.0,61.87,136.22,93.17,24539.0,31.49,69.34,47.43,0.0,6.64,14.63,10.01,77924.0,220.19,150.61
130,2017,3,Gujarat,Junagadh,36696.0,59.97,102.29,71.25,20551.0,33.58,57.29,39.9,0.0,6.45,11.0,7.66,61193.0,170.58,118.82
131,2016,3,Gujarat,Kheda,70711.0,87.12,246.96,164.32,7486.0,9.22,26.15,17.4,0.0,3.66,10.37,6.9,81166.0,283.48,188.61
131,2017,3,Gujarat,Kheda,60616.0,86.34,213.82,134.05,7878.0,11.22,27.79,17.42,0.0,2.44,6.05,3.79,70208.0,247.65,155.26
132,2016,3,Gujarat,Kutch,44289.0,75.68,60.34,54.99,12847.0,21.95,17.5,15.95,0.0,2.36,1.88,1.72,58518.0,79.73,72.66
132,2017,3,Gujarat,Kutch,50990.0,73.26,69.52,63.0,16033.0,23.03,21.86,19.81,0.0,3.71,3.52,3.19,69604.0,94.9,86.0
133,2016,3,Gujarat,Mehsana,46907.0,79.53,134.47,89.29,9488.0,16.09,27.2,18.06,0.0,4.38,7.41,4.92,58981.0,169.08,112.27
133,2017,3,Gujarat,Mehsana,48356.0,79.14,138.92,93.42,10329.0,16.9,29.67,19.96,0.0,3.95,6.94,4.67,61101.0,175.54,118.05
134,2016,3,Gujarat,Panchmahal,45125.0,87.51,257.61,175.6,5217.0,10.12,29.78,20.3,0.0,2.37,6.99,4.76,51566.0,294.38,200.66
134,2017,3,Gujarat,Panchmahal,29445.0,85.65,167.12,128.78,3929.0,11.43,22.3,17.18,0.0,2.92,5.7,4.4,34379.0,195.12,150.36
135,2016,3,Gujarat,Rajkot,78282.0,61.71,146.29,135.51,37762.0,29.77,70.57,65.37,0.0,8.52,20.19,18.7,126848.0,237.05,219.57
135,2017,3,Gujarat,Rajkot,76438.0,59.83,142.53,116.79,41089.0,32.16,76.62,62.78,0.0,8.01,19.08,15.64,127762.0,238.23,195.22
136,2016,3,Gujarat,Sabarkantha,75596.0,67.7,274.02,210.8,21251.0,19.03,77.03,59.26,0.0,13.27,53.73,41.34,111671.0,404.78,311.4
136,2017,3,Gujarat,Sabarkantha,50530.0,69.19,186.08,135.26,15144.0,20.74,55.77,40.54,0.0,10.08,27.1,19.7,73034.0,268.95,195.5
137,2016,3,Gujarat,Surat,54111.0,57.31,217.58,190.13,21686.0,22.97,87.2,76.2,0.0,19.72,74.86,65.42,94415.0,379.6,331.7
137,2017,3,Gujarat,Surat,63003.0,55.78,250.75,217.17,25855.0,22.89,102.9,89.12,0.0,21.33,95.86,83.02,112944.0,449.52,389.31
138,2016,3,Gujarat,Surendranagar,72936.0,71.58,117.48,93.73,26365.0,25.87,42.47,33.88,0.0,2.55,4.18,3.34,101899.0,164.14,130.95
138,2017,3,Gujarat,Surendranagar,72219.0,71.56,116.29,95.57,26959.0,26.71,43.41,35.67,0.0,1.72,2.8,2.3,100914.0,162.5,133.54
139,2016,10,Rajasthan,Ajmer,16482.0,66.53,36.6,22.96,8198.0,33.09,18.21,11.42,0.0,0.38,0.21,0.13,24774.0,55.02,34.51
139,2017,10,Rajasthan,Ajmer,10572.0,62.47,24.1,18.13,6290.0,37.17,14.34,10.78,0.0,0.37,0.14,0.11,16924.0,38.58,29.02
140,2016,10,Rajasthan,Alwar,50167.0,79.46,101.89,57.62,12371.0,19.6,25.13,14.21,0.0,0.94,1.21,0.68,63133.0,128.22,72.51
140,2017,10,Rajasthan,Alwar,37580.0,84.2,77.28,44.35,5713.0,12.8,11.75,6.74,0.0,3.0,2.75,1.58,44630.0,91.78,52.68
141,2016,10,Rajasthan,Banswara,33674.0,84.03,147.27,98.14,6130.0,15.3,26.81,17.87,0.0,0.67,1.18,0.78,40073.0,175.25,116.79
141,2017,10,Rajasthan,Banswara,26830.0,87.36,117.87,78.51,3699.0,12.04,16.25,10.82,0.0,0.6,0.8,0.54,30712.0,134.93,89.87
142,2016,10,Rajasthan,Barmer,12749.0,81.09,7.63,6.73,2654.0,16.88,1.59,1.4,0.0,2.04,0.19,0.17,15723.0,9.41,8.31
142,2017,10,Rajasthan,Barmer,12912.0,82.99,7.71,6.76,2366.0,15.21,1.41,1.24,0.0,1.8,0.17,0.15,15558.0,9.29,8.15
143,2016,10,Rajasthan,Bharatpur,47193.0,80.18,120.22,77.84,11491.0,19.52,29.27,18.95,0.0,0.29,0.44,0.28,58856.0,149.93,97.07
143,2017,10,Rajasthan,Bharatpur,42097.0,74.04,107.7,70.5,14353.0,25.24,36.72,24.04,0.0,0.72,1.05,0.68,56859.0,145.47,95.22
144,2016,10,Rajasthan,Bhilwara,35459.0,72.63,79.99,52.34,13030.0,26.69,29.39,19.23,0.0,0.68,0.75,0.49,48822.0,110.13,72.07
144,2017,10,Rajasthan,Bhilwara,22307.0,80.32,52.36,36.51,5226.0,18.82,12.27,8.55,0.0,0.86,0.56,0.39,27772.0,65.19,45.46
145,2016,10,Rajasthan,Bikaner,28667.0,73.27,17.52,14.15,10363.0,26.49,6.33,5.11,0.0,0.25,0.06,0.05,39126.0,23.92,19.31
145,2017,10,Rajasthan,Bikaner,22488.0,67.4,14.44,11.43,10645.0,31.9,6.84,5.41,0.0,0.7,0.15,0.12,33366.0,21.42,16.96
146,2016,10,Rajasthan,Bundi,41440.0,74.82,154.67,83.56,13541.0,24.45,50.54,27.3,0.0,0.73,1.52,0.82,55388.0,206.73,111.68
146,2017,10,Rajasthan,Bundi,40163.0,75.98,150.76,83.25,12315.0,23.3,46.23,25.53,0.0,0.72,1.43,0.79,52860.0,198.42,109.56
147,2016,10,Rajasthan,Chittorgarh,44830.0,68.93,137.32,77.78,19336.0,29.73,59.23,33.55,0.0,1.34,2.67,1.51,65037.0,199.22,112.84
147,2017,10,Rajasthan,Chittorgarh,39005.0,70.83,120.7,68.17,14898.0,27.05,46.1,26.04,0.0,2.11,3.6,2.03,55066.0,170.4,96.24
148,2016,10,Rajasthan,Churu,9639.0,78.08,8.37,6.55,2706.0,21.92,2.35,1.84,3142.1340854258133,0.010937735242549707,23.316377597318,15.042716469324661,12345.0,10.72,8.39
148,2017,10,Rajasthan,Churu,8066.0,81.35,7.11,5.96,1810.0,18.26,1.6,1.34,39.0,0.39,0.03,0.03,9915.0,8.74,7.33
149,2016,10,Rajasthan,Dungarpur,6488.0,65.9,48.23,33.11,3182.0,32.32,23.65,16.24,175.0,1.78,1.3,0.89,9845.0,73.19,50.25
149,2017,10,Rajasthan,Dungarpur,6142.0,86.82,45.71,31.31,859.0,12.14,6.39,4.38,73.0,1.03,0.54,0.37,7074.0,52.65,36.06
150,2016,10,Rajasthan,Ganganagar,61004.0,72.34,79.21,50.55,22478.0,26.65,29.19,18.63,850.0,1.01,1.1,0.7,84332.0,109.5,69.88
150,2017,10,Rajasthan,Ganganagar,75156.0,66.34,100.35,61.61,34318.0,30.29,45.82,28.13,3820.0,3.37,5.1,3.13,113294.0,151.27,92.87
151,2016,10,Rajasthan,Jaipur,46290.0,72.43,70.54,44.66,16441.0,25.72,25.05,15.86,1182.0,1.85,1.8,1.14,63913.0,97.4,61.67
151,2017,10,Rajasthan,Jaipur,36967.0,66.33,58.73,41.0,16331.0,29.3,25.95,18.11,2437.0,4.37,3.87,2.7,55735.0,88.55,61.82
152,2016,10,Rajasthan,Jaisalmer,9374.0,70.24,11.31,8.65,3922.0,29.39,4.73,3.62,0.0,0.37,0.06,0.05,13346.0,16.1,12.31
152,2017,10,Rajasthan,Jaisalmer,7838.0,70.55,9.33,7.0,3190.0,28.71,3.8,2.85,0.0,0.74,0.1,0.07,11110.0,13.23,9.92
153,2016,10,Rajasthan,Jalore,33866.0,83.03,50.7,35.7,5723.0,14.03,8.57,6.03,0.0,2.93,1.79,1.26,40786.0,61.05,43.0
153,2017,10,Rajasthan,Jalore,29682.0,79.45,44.38,31.47,6176.0,16.53,9.23,6.55,0.0,4.02,2.24,1.59,37359.0,55.86,39.6
154,2016,10,Rajasthan,Jhalawar,37941.0,71.81,112.25,59.02,14287.0,27.04,42.27,22.23,0.0,1.15,1.8,0.94,52835.0,156.32,82.19
154,2017,10,Rajasthan,Jhalawar,30475.0,67.87,90.61,47.89,14084.0,31.36,41.88,22.13,0.0,0.77,1.03,0.54,44905.0,133.52,70.56
155,2016,10,Rajasthan,Jhunjhunu,14175.0,85.56,35.39,22.59,2365.0,14.27,5.91,3.77,0.0,0.17,0.07,0.04,16568.0,41.37,26.4
155,2017,10,Rajasthan,Jhunjhunu,12768.0,78.1,32.67,21.02,3509.0,21.46,8.98,5.78,0.0,0.44,0.18,0.12,16349.0,41.83,26.91
156,2016,10,Rajasthan,Jodhpur,35148.0,66.46,25.18,19.66,16574.0,31.34,11.87,9.27,0.0,2.2,0.83,0.65,52886.0,37.88,29.58
156,2017,10,Rajasthan,Jodhpur,35672.0,65.44,25.39,20.15,17059.0,31.29,12.14,9.63,0.0,3.27,1.27,1.01,54515.0,38.79,30.79
157,2016,10,Rajasthan,Kota,45353.0,66.13,166.68,88.29,22296.0,32.51,81.94,43.4,0.0,1.37,3.44,1.82,68586.0,252.06,133.52
157,2017,10,Rajasthan,Kota,43999.0,67.24,163.99,86.71,19889.0,30.39,74.13,39.2,0.0,2.37,5.77,3.05,65436.0,243.89,128.96
158,2016,10,Rajasthan,Nagaur,26678.0,63.31,21.22,16.16,14591.0,34.62,11.61,8.84,0.0,2.07,0.69,0.53,42142.0,33.52,25.53
158,2017,10,Rajasthan,Nagaur,24469.0,62.11,19.5,16.17,13532.0,34.35,10.79,8.94,0.0,3.54,1.11,0.92,39395.0,31.4,26.04
159,2016,10,Rajasthan,Pali,18984.0,66.14,29.5,21.22,9457.0,32.95,14.7,10.57,0.0,0.91,0.41,0.29,28703.0,44.6,32.09
159,2017,10,Rajasthan,Pali,13748.0,53.98,21.03,16.37,11119.0,43.66,17.01,13.24,0.0,2.37,0.92,0.72,25470.0,38.96,30.33
160,2016,10,Rajasthan,Swami Madhopur,31821.0,74.53,109.94,74.64,10768.0,25.22,37.2,25.26,0.0,0.26,0.37,0.25,42698.0,147.52,100.15
160,2017,10,Rajasthan,Swami Madhopur,19978.0,79.79,80.22,52.35,4845.0,19.35,19.46,12.7,0.0,0.86,0.86,0.56,25038.0,100.54,65.61
161,2016,10,Rajasthan,Sikar,16520.0,76.28,32.51,23.06,4956.0,22.88,9.75,6.92,0.0,0.84,0.36,0.25,21657.0,42.62,30.23
161,2017,10,Rajasthan,Sikar,15594.0,73.82,30.92,22.72,5243.0,24.82,10.4,7.64,0.0,1.35,0.57,0.42,21123.0,41.88,30.78
162,2016,10,Rajasthan,Sirohi,15946.0,78.07,97.28,70.38,3867.0,18.93,23.59,17.07,0.0,3.0,3.73,2.7,20425.0,124.61,90.15
162,2017,10,Rajasthan,Sirohi,14531.0,75.52,85.56,64.02,4303.0,22.36,25.34,18.96,0.0,2.11,2.39,1.79,19240.0,113.28,84.77
163,2016,10,Rajasthan,Tonk,31124.0,70.07,64.31,44.26,13112.0,29.52,27.09,18.65,0.0,0.41,0.38,0.26,44418.0,91.77,63.17
163,2017,10,Rajasthan,Tonk,22553.0,68.95,48.62,33.59,9945.0,30.41,21.44,14.81,0.0,0.64,0.45,0.31,32707.0,70.51,48.71
164,2016,10,Rajasthan,Udaipur,29195.0,74.5,119.09,82.35,8409.0,21.46,34.3,23.72,0.0,4.05,6.47,4.47,39190.0,159.86,110.54
164,2017,10,Rajasthan,Udaipur,21545.0,70.59,91.39,62.08,6748.0,22.11,28.62,19.44,0.0,7.3,9.46,6.42,30522.0,129.47,87.95
165,2016,9,Punjab,Gurdaspur,91476.0,80.55,438.63,221.76,20389.0,17.95,97.77,49.43,0.0,1.49,8.12,4.11,113559.0,544.52,275.29
165,2017,9,Punjab,Gurdaspur,87625.0,82.07,420.87,213.57,16846.0,15.78,80.91,41.06,0.0,2.15,11.01,5.59,106764.0,512.8,260.22
166,2016,9,Punjab,Amritsar,79245.0,71.51,361.55,192.95,28855.0,26.04,131.65,70.26,0.0,2.45,12.38,6.61,110814.0,505.58,269.82
166,2017,9,Punjab,Amritsar,75393.0,72.48,343.98,181.26,25311.0,24.33,115.48,60.85,0.0,3.19,15.12,7.97,104017.0,474.57,250.07
167,2016,9,Punjab,Kapurthala,47219.0,79.92,355.17,171.9,10168.0,17.21,76.48,37.02,0.0,2.87,12.74,6.17,59081.0,444.39,215.08
167,2017,9,Punjab,Kapurthala,43368.0,82.96,325.76,163.16,6625.0,12.67,49.76,24.93,0.0,4.36,17.13,8.58,52274.0,392.66,196.67
168,2016,9,Punjab,Jalandhar,73655.0,70.34,297.53,178.86,28471.0,27.19,115.01,69.14,0.0,2.48,10.48,6.3,104720.0,423.01,254.3
168,2017,9,Punjab,Jalandhar,69804.0,71.29,282.96,170.06,24928.0,25.46,101.05,60.73,0.0,3.25,12.91,7.76,97917.0,396.92,238.54
169,2016,9,Punjab,Hoshiarpur,50025.0,67.45,244.63,148.43,22193.0,29.92,108.53,65.85,0.0,2.62,9.52,5.77,74164.0,362.68,220.05
169,2017,9,Punjab,Hoshiarpur,46174.0,68.54,226.48,136.9,18651.0,27.68,91.48,55.3,0.0,3.78,12.48,7.55,67370.0,330.45,199.75
170,2016,9,Punjab,Roopnagar,24807.0,67.22,306.35,179.07,10751.0,29.13,132.77,77.61,0.0,3.65,16.62,9.72,36904.0,455.75,266.4
170,2017,9,Punjab,Roopnagar,20956.0,69.56,258.16,141.68,7208.0,23.93,88.79,48.73,0.0,6.51,24.17,13.26,30126.0,371.12,203.68
171,2016,9,Punjab,Ludhiana,161582.0,84.54,540.6,269.11,28149.0,14.73,94.18,46.88,0.0,0.73,4.66,2.32,191125.0,639.45,318.31
171,2017,9,Punjab,Ludhiana,162331.0,85.93,543.97,292.56,24605.0,13.02,82.45,44.34,0.0,1.05,6.64,3.57,188918.0,633.06,340.47
172,2016,9,Punjab,Ferozpur,91451.0,71.54,418.61,227.11,34687.0,27.14,158.78,86.14,0.0,1.32,7.73,4.19,127826.0,585.11,317.45
172,2017,9,Punjab,Ferozpur,87600.0,72.38,401.11,211.2,31143.0,25.73,142.6,75.08,0.0,1.89,10.47,5.51,121030.0,554.18,291.79
173,2016,9,Punjab,Faridkot,43171.0,73.38,339.5,177.95,14250.0,24.22,112.06,58.74,0.0,2.4,11.1,5.82,58833.0,462.67,242.51
173,2017,9,Punjab,Faridkot,39320.0,75.56,309.2,162.44,10706.0,20.57,84.19,44.23,0.0,3.86,15.81,8.31,52037.0,409.21,214.98
174,2016,9,Punjab,Bhatinda,86913.0,78.04,295.95,158.22,21562.0,19.36,73.42,39.25,0.0,2.6,9.85,5.27,111369.0,379.23,202.75
174,2017,9,Punjab,Bhatinda,83062.0,79.43,283.08,148.63,18019.0,17.23,61.41,32.24,0.0,3.34,11.9,6.25,104574.0,356.4,187.12
175,2016,9,Punjab,Sangrur,101351.0,77.57,323.64,162.75,27914.0,21.36,89.14,44.82,0.0,1.07,4.45,2.24,130659.0,417.22,209.81
175,2017,9,Punjab,Sangrur,97499.0,78.71,309.49,155.47,24370.0,19.67,77.36,38.86,0.0,1.62,6.38,3.21,123879.0,393.23,197.53
176,2016,9,Punjab,Patiala,131379.0,87.59,511.93,256.21,16032.0,10.69,62.47,31.26,0.0,1.72,10.06,5.03,149992.0,584.46,292.5
176,2017,9,Punjab,Patiala,127528.0,88.91,494.0,249.6,12489.0,8.71,48.38,24.44,0.0,2.39,13.25,6.7,143438.0,555.63,280.74
177,2016,4,Haryana,Hissar,72875.0,73.57,218.39,112.9,23757.0,23.98,71.2,36.81,0.0,2.45,7.27,3.76,99058.0,296.86,153.46
177,2017,4,Haryana,Hissar,75434.0,73.37,225.74,116.98,24457.0,23.79,73.19,37.93,0.0,2.84,8.73,4.52,102809.0,307.67,159.43
178,2016,4,Haryana,Sirsa,103174.0,71.53,263.98,141.76,35836.0,24.84,91.69,49.24,0.0,3.63,13.39,7.19,144243.0,369.06,198.19
178,2017,4,Haryana,Sirsa,106384.0,72.2,272.19,143.22,35444.0,24.05,90.69,47.72,0.0,3.75,14.12,7.43,147348.0,377.0,198.37
179,2016,4,Haryana,Bhiwani,50524.0,70.38,126.47,67.95,19783.0,27.56,49.52,26.61,0.0,2.06,3.7,1.99,71785.0,179.69,96.55
179,2017,4,Haryana,Bhiwani,55781.0,67.55,180.71,108.46,23070.0,27.94,74.74,44.86,0.0,4.51,12.08,7.25,82579.0,267.52,160.57
180,2016,4,Haryana,Gurgaon,8679.0,66.51,144.65,85.93,3914.0,29.99,65.23,38.75,0.0,3.49,7.6,4.51,13049.0,217.48,129.2
180,2017,4,Haryana,Gurgaon,10382.0,65.66,173.03,95.25,4718.0,29.84,78.63,43.28,0.0,4.5,11.85,6.52,15811.0,263.52,145.06
181,2016,4,Haryana,Jind,74742.0,75.26,301.62,167.99,19534.0,19.67,78.83,43.91,0.0,5.07,20.31,11.31,99308.0,400.75,223.21
181,2017,4,Haryana,Jind,86779.0,77.89,350.16,183.44,19945.0,17.9,80.48,42.16,0.0,4.21,18.93,9.92,111416.0,449.57,235.52
182,2016,4,Haryana,Mahendragarh,31929.0,69.9,208.86,108.92,12853.0,28.14,84.08,43.85,0.0,1.96,5.85,3.05,45677.0,298.79,155.83
182,2017,4,Haryana,Mahendragarh,28367.0,67.47,186.18,99.46,12487.0,29.7,81.95,43.78,0.0,2.83,7.82,4.18,42046.0,275.95,147.42
183,2016,4,Haryana,Ambala,34884.0,74.49,323.25,170.77,9473.0,20.23,87.78,46.38,0.0,5.28,22.9,12.1,46828.0,433.93,229.25
183,2017,4,Haryana,Ambala,38906.0,76.39,360.52,187.14,10082.0,19.79,93.42,48.49,0.0,3.82,18.02,9.36,50933.0,471.97,244.99
184,2016,4,Haryana,Karnal,92284.0,80.3,439.63,223.22,19913.0,17.33,94.86,48.17,0.0,2.37,12.96,6.58,114918.0,547.46,277.96
184,2017,4,Haryana,Karnal,98443.0,81.1,489.75,252.26,19448.0,16.02,96.75,49.84,0.0,2.88,17.38,8.95,121385.0,603.89,311.05
185,2016,4,Haryana,Kurukshetra,62060.0,75.93,428.0,233.31,16551.0,20.25,114.14,62.22,0.0,3.81,21.5,11.72,81728.0,563.64,307.25
185,2017,4,Haryana,Kurukshetra,67618.0,76.48,463.64,242.22,16912.0,19.13,115.96,60.58,0.0,4.4,26.65,13.92,88416.0,606.25,316.72
186,2016,4,Haryana,Rohtak,31123.0,74.45,226.82,137.37,9663.0,23.11,70.42,42.65,0.0,2.44,7.43,4.5,41805.0,304.67,184.52
186,2017,4,Haryana,Rohtak,32591.0,78.41,237.67,134.85,8138.0,19.58,59.35,33.67,0.0,2.01,6.09,3.45,41564.0,303.1,171.98
187,2016,4,Haryana,Sonepat,61281.0,76.6,403.16,204.27,16809.0,21.01,110.59,56.03,0.0,2.39,12.55,6.36,79998.0,526.3,266.66
